CWE;Project Name;Frequency;Owner
CWE-444;jetty.project;1;eclipse
CWE-78;xstream;1;x-stream
CWE-399;tomcat;5;apache
CWE-502;ignite;3;apache
CWE-319;wildfly;1;wildfly
CWE-119;tomcat;4;apache
CWE-611;WxJava;1;Wechat-Group
CWE-19;spring-security-oauth;1;spring-projects
CWE-352;cxf-fediz;5;apache
CWE-22;mojarra;1;eclipse-ee4j
CWE-863;mercurial-plugin;1;jenkinsci
CWE-94;camel;5;apache
CWE-20;tomcat;19;apache
CWE-200;jasypt;1;jboss-fuse
CWE-352;mailer-plugin;1;jenkinsci
CWE-20;struts1-forever;2;kawasima
CWE-434;tomcat80;1;apache
CWE-264;openjpa;9;apache
CWE-20;tomcat80;2;apache
CWE-200;hadoop;1;apache
CWE-200;activemq;3;apache
CWE-502;jackson-databind;7;FasterXML
CWE-79;nifi;1;apache
CWE-287;activemq;1;apache
CWE-22;OpenRefine;1;OpenRefine
CWE-284;tomcat80;2;apache
CWE-200;tomcat;10;apache
CWE-835;tomcat;1;apache
CWE-200;kubernetes-plugin;1;jenkinsci
CWE-319;nifi;1;apache
CWE-119;netty;1;netty
CWE-264;hibernate-validator;8;hibernate
CWE-522;build-publisher-plugin;2;jenkinsci
CWE-611;itext7;1;itext
CWE-611;activemq-artemis;1;apache
CWE-284;jetty.project;1;eclipse
CWE-611;cayenne;1;apache
CWE-22;tomcat55;2;apache
CWE-200;git-client-plugin;1;jenkinsci
CWE-184;jackson-databind;8;FasterXML
CWE-863;promoted-builds-plugin;1;jenkinsci
CWE-89;spring-data-jpa;1;spring-projects
CWE-362;jenkins;3;jenkinsci
CWE-611;UA-Java;1;OPCFoundation
CWE-863;subversion-plugin;1;jenkinsci
CWE-94;geronimo;1;apache
CWE-863;spring-security;2;spring-projects
CWE-19;beanshell;2;beanshell
CWE-310;cxf;1;apache
CWE-502;struts;2;apache
CWE-284;tomcat;6;apache
CWE-502;jython;1;jythontools
CWE-345;spring-security;1;spring-projects
CWE-20;spring-security;3;spring-projects
CWE-287;kafka;3;apache
CWE-20;jenkins;1;jenkinsci
CWE-254;conscrypt;2;platform
CWE-19;bc-java;1;bcgit
CWE-310;tomcat55;1;apache
CWE-20;vert.x;1;eclipse
CWE-862;tikal-multijob-plugin;2;jenkinsci
CWE-264;commons-fileupload;1;apache
CWE-502;spring-amqp;4;spring-projects
CWE-502;spring-security;2;spring-projects
CWE-295;spring-amqp;3;spring-projects
CWE-399;cxf;3;apache
CWE-22;onos;1;opennetworkinglab
CWE-611;ccm-plugin;1;jenkinsci
CWE-22;spring-integration-extensions;2;spring-projects
CWE-287;jenkins;4;jenkinsci
CWE-755;cxf;2;apache
CWE-611;androidsvg;1;BigBadaboom
CWE-611;syncope;3;apache
CWE-862;jenkins;1;jenkinsci
CWE-22;FileDownloader;1;lingochamp
CWE-20;ognl;1;jkuhnert
CWE-835;netty;2;netty
CWE-522;coverity-plugin;1;jenkinsci
CWE-264;xalan-j;1;apache
CWE-20;axis2-java;2;fluetm
CWE-200;directory-ldap-api;2;apache
CWE-611;lucene-solr;18;apache
CWE-200;telephony;1;platform
CWE-295;activemq;1;apache
CWE-611;cxf;3;apache
CWE-388;tomcat;3;apache
CWE-352;vertx-web;2;vert-x3
CWE-347;bc-java;2;bcgit
CWE-20;spring-data-rest;2;spring-projects
CWE-601;keycloak;1;keycloak
CWE-119;vert.x;1;eclipse-vertx
CWE-269;karaf;1;apache
CWE-295;cxf;1;apache
CWE-502;buck;1;facebook
CWE-20;syncope;3;apache
CWE-284;ambari;1;apache
CWE-327;bc-java;2;bcgit
CWE-310;bc-java;2;repositories
CWE-352;saltstack-plugin;1;jenkinsci
CWE-79;jenkins;3;jenkinsci
CWE-611;karaf;2;apache
CWE-78;plexus-utils;1;codehaus-plexus
CWE-470;hibernate-validator;3;hibernate
CWE-835;junrar;1;junrar
CWE-200;hive;1;apache
CWE-611;sling;1;apache
CWE-613;uaa;1;cloudfoundry
CWE-255;activemq;1;apache
CWE-310;commons-compress;10;apache
CWE-79;wicket;1;apache
CWE-601;uaa;6;cloudfoundry
CWE-200;portals-pluto;1;apache
CWE-434;tomcat;9;apache
CWE-417;spring-security;1;spring-projects
CWE-79;sling-org-apache-sling-xss;1;apache
CWE-668;tomcat;3;apache
CWE-22;activemq;2;apache
CWE-264;elasticsearch;1;elastic
CWE-862;favorite-plugin;1;jenkinsci
CWE-20;spring-data-commons;2;spring-projects
CWE-863;gerrit-trigger-plugin;2;jenkinsci
CWE-20;activemq;10;apache
CWE-611;jackson-dataformat-xml;1;FasterXML
CWE-770;spring-data-commons;2;spring-projects
CWE-22;rdf4j;1;eclipse
CWE-502;groovy;1;apache
CWE-74;java-cas-client;2;apereo
CWE-611;camel;12;apache
CWE-119;spring-framework;1;spring-projects
CWE-200;bc-java;4;bcgit
CWE-354;bc-java;1;bcgit
CWE-264;candlepin;1;candlepin
