CWE;Project Name;Frequency;Owner
None;commons-collections;7;apache
CWE-22;mojarra;1;eclipse-ee4j
NVD-CWE-noinfo;credhub;2;cloudfoundry-incubator
CWE-310;santuario-java;1;apache
CWE-20;vert.x;1;eclipse
CWE-200;jboss-seam;1;seam2
CWE-345;tomcat85;1;apache
CWE-417;spring-security;1;spring-projects
CWE-611;spring-framework;2;spring-projects
CWE-94;struts;16;apache
None;geode;1;apache
CWE-611;pippo;1;pippo-java
CWE-284;jetty.project;1;eclipse
CWE-1021;nifi;1;apache
CWE-200;tomcat55;1;apache
NVD-CWE-noinfo;struts1-forever;1;kawasima
CWE-264;base;1;platform
NVD-CWE-noinfo;jetty.project;3;eclipse
CWE-835;poi;4;apache
CWE-119;vert.x;1;eclipse-vertx
None;axis2-java;2;apache
CWE-352;jackrabbit;13;apache
CWE-79;jsoup;1;jhy
CWE-255;subversion-plugin;1;jenkinsci
CWE-345;spring-security;1;spring-projects
CWE-835;tomcat;1;apache
CWE-522;build-publisher-plugin;2;jenkinsci
CWE-863;uaa;5;cloudfoundry
CWE-611;restlet-framework-java;2;restlet
CWE-78;xstream;1;x-stream
CWE-22;jenkins;5;jenkinsci
CWE-200;xstream;8;x-stream
CWE-269;pljava;1;tada
CWE-295;thrift;1;apache
CWE-918;camel;5;apache
CWE-444;jetty.project;1;eclipse
CWE-264;activemq;1;apache
CWE-254;activemq;2;apache
CWE-22;lucene-solr;5;apache
CWE-77;struts;1;apache
CWE-502;pippo;1;pippo-java
CWE-264;orbeon-forms;1;orbeon
CWE-20;axis2-java;2;apache
CWE-264;cxf;1;apache
CWE-611;itext7;1;itext
CWE-264;spring-framework;3;spring-projects
CWE-297;pgjdbc;1;pgjdbc
CWE-352;uaa;4;cloudfoundry
CWE-264;cordova-android;1;apache
CWE-863;geode;7;apache
CWE-835;netty;2;netty
CWE-22;hadoop;13;apache
CWE-20;spring-data-commons;2;spring-projects
CWE-79;jenkins;3;jenkinsci
CWE-200;email-ext-plugin;1;jenkinsci
CWE-835;tika;3;apache
CWE-284;commons-fileupload;2;apache
CWE-755;tomcat;2;apache
CWE-611;ccm-plugin;1;jenkinsci
CWE-22;zt-zip;1;zeroturnaround
CWE-668;tomcat85;1;apache
CWE-863;git-plugin;1;jenkinsci
CWE-264;tomcat;17;apache
CWE-611;onos;2;opennetworkinglab
CWE-16;restlet-framework-java;3;restlet
CWE-79;tomcat;4;apache
CWE-184;jackson-databind;8;FasterXML
NVD-CWE-Other;pdfbox;1;apache
CWE-22;DependencyCheck;1;jeremylong
CWE-22;camel;4;apache
CWE-352;cxf-fediz;5;apache
CWE-89;hive;2;apache
CWE-200;jetty.project;2;eclipse
CWE-269;uaa;14;cloudfoundry
CWE-79;jolokia;1;rhuss
CWE-434;tomcat;1;apache
CWE-20;ognl;1;jkuhnert
CWE-863;mercurial-plugin;1;jenkinsci
CWE-22;activemq;2;apache
CWE-20;qpid-broker-j;4;apache
NVD-CWE-noinfo;tika;7;apache
CWE-119;tomcat;3;apache
CWE-22;FileDownloader;1;lingochamp
CWE-19;tomcat70;1;apache
CWE-319;nifi;1;apache
CWE-352;saltstack-plugin;1;jenkinsci
CWE-19;bc-java;1;bcgit
CWE-399;netty;1;netty
CWE-200;tomcat80;1;apache
CWE-254;conscrypt;2;platform
NVD-CWE-noinfo;spring-framework;9;spring-projects
CWE-79;nifi;1;apache
CWE-345;async-http-client;3;AsyncHttpClient
CWE-306;cassandra;1;beobal
CWE-352;projectforge-webapp;1;micromata
CWE-352;geronimo;3;apache
CWE-918;jenkins;1;jenkinsci
CWE-434;hawtio;1;hawtio
CWE-755;tomcat70;2;apache
CWE-78;nmap4j;1;narkisr
CWE-611;checkstyle-plugin;1;jenkinsci
CWE-79;wicket;1;apache
None;tomcat55;1;apache
CWE-863;google-play-android-publisher-plugin;1;jenkinsci
NVD-CWE-Other;tomcat55;2;apache
CWE-20;spring-amqp;1;spring-projects
None;javamelody;2;javamelody
CWE-601;keycloak;1;keycloak
CWE-254;santuario-java;1;apache
NVD-CWE-noinfo;JGroups;3;belaban
CWE-310;tomcat55;1;apache
CWE-287;karaf;2;apache
CWE-502;batik;1;apache
CWE-287;hive;2;apache
CWE-613;uaa;1;cloudfoundry
None;tomcat70;1;apache
CWE-200;atlas;1;apache
CWE-20;hadoop;2;apache
CWE-200;bc-java;4;bcgit
CWE-189;tomcat70;14;apache
NVD-CWE-Other;cordova-android;1;apache
CWE-200;orientdb;1;orientechnologies
None;rabbitmq-jms-client;1;rabbitmq
CWE-287;hbase;1;apache
CWE-1188;tomcat;1;apache
