"CWE-ID","Project Name","Method-ID","Fix Commit","Badness","Tool-ID","Tool result","Size","TP","TN","FP","FN"
"CWE-200","tomcat","java/org/apache/jasper/JspC.java$initServletContext","05c84ff8304a69a30b251f207a7b93c2c882564d","false","vcg","[??]","29","??","??","??","??"
"CWE-200","tomcat","java/org/apache/jasper/JspC.java$setArgs","05c84ff8304a69a30b251f207a7b93c2c882564d","false","vcg","[??]","110","??","??","??","??"
"CWE-502","ignite","modules/core/src/main/java/org/apache/ignite/internal/util/IgniteUtils.java$forName","340569b8f4e14a4cb61a9407ed2d9aa4a20bdf49","true","vcg","[]","34","False","False","False","True"
"CWE-611","nifi","nifi-nar-bundles/nifi-standard-bundle/nifi-standard-processors/src/main/java/org/apache/nifi/processors/standard/SplitXml.java$onTrigger","28067a29fd13cdf8e21b440fc65c6dd67872522f","true","vcg","[??]","51","??","??","??","??"
"CWE-200","tomcat","java/org/apache/tomcat/util/descriptor/LocalResolver.java$resolveEntity","05c84ff8304a69a30b251f207a7b93c2c882564d","false","vcg","[??]","67","??","??","??","??"
"CWE-200","tomcat","java/org/apache/tomcat/util/descriptor/LocalResolver.java$getExternalSubset","05c84ff8304a69a30b251f207a7b93c2c882564d","false","vcg","[??]","4","??","??","??","??"
"CWE-200","tomcat","java/org/apache/tomcat/util/descriptor/LocalResolver.java$LocalResolver","05c84ff8304a69a30b251f207a7b93c2c882564d","false","vcg","[??]","5","??","??","??","??"
"CWE-310","bc-java","core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP224K1Curve.java$SecP224K1Curve","5cb2f0578e6ec8f0d67e59d05d8c4704d8e05f83","true","vcg","[??]","11","??","??","??","??"
"CWE-19","camel","components/camel-jetty-common/src/main/java/org/apache/camel/component/jetty/JettyHttpEndpoint.java$getJettyBinding","c558f30a6d3820faa3d8c4ad5e54448914ec60d0","true","vcg","[??]","9","??","??","??","??"
"CWE-284","tomcat80","java/org/apache/catalina/mbeans/JmxRemoteLifecycleListener.java$createServer","0f76016a4ec45635e450ada9c84ff7ee0c5f3799","true","vcg","[??]","48","??","??","??","??"
"CWE-284","tomcat80","java/org/apache/catalina/mbeans/JmxRemoteLifecycleListener.java$lifecycleEvent","0f76016a4ec45635e450ada9c84ff7ee0c5f3799","true","vcg","[??]","87","??","??","??","??"
"CWE-200","bc-java","core/src/main/java/org/bouncycastle/crypto/modes/GCMBlockCipher.java$init","2d80e6cc6f5b78e159dba3277414e3bfea511dea","false","vcg","[??]","97","??","??","??","??"
"CWE-200","bc-java","core/src/main/java/org/bouncycastle/crypto/modes/GCMBlockCipher.java$reset","2d80e6cc6f5b78e159dba3277414e3bfea511dea","false","vcg","[??]","31","??","??","??","??"
"CWE-613","keycloak","services/src/main/java/org/keycloak/forms/account/freemarker/model/UrlBean.java$UrlBean","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","false","vcg","[??]","6","??","??","??","??"
