F:\Valentino\Progetti_da_buildare_2\commons-compress2a2f1dc48e22a34ddb72321a4db211da91aa933b\pom.xml2a2f1dc48e22a34ddb72321a4db211da91aa933b;1.7
F:\Valentino\Progetti_da_buildare_2\promoted-builds-plugin9b99b9427cc4f692644f929e70f3e7b2180b11c5\pom.xml9b99b9427cc4f692644f929e70f3e7b2180b11c5;1.7
F:\Valentino\Progetti_da_buildare_2\tomcatf603f2f4595073f9490e01699d2083112a7c09a7\pom.xmlf603f2f4595073f9490e01699d2083112a7c09a7;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\uaa6bf1c0ae1abc9aaba957708e0b2dfb6a70aab826\pom.xml6bf1c0ae1abc9aaba957708e0b2dfb6a70aab826;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\spring-frameworke0de9126ed8cf25cf141d3e66420da94e350708\pom.xmle0de9126ed8cf25cf141d3e66420da94e350708;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\sonarqube7b567ba3d15ed7dd0b0bba0330686487e35af85c\pom.xml7b567ba3d15ed7dd0b0bba0330686487e35af85c;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\OpenRefine6a0d7d56e4ffb420316ce7849fde881344fbf881\pom.xml6a0d7d56e4ffb420316ce7849fde881344fbf881;non trovata
F:\Valentino\Progetti_da_buildare_2\tomcat407841c426dc52a4c6b8ccd297df6c484a540056\pom.xml407841c426dc52a4c6b8ccd297df6c484a540056;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\wicket-jquery-uicc75fdc3e610985a5f391789d33fb70c8c9114d\pom.xmlcc75fdc3e610985a5f391789d33fb70c8c9114d;1.7
F:\Valentino\Progetti_da_buildare_2\spring-frameworkd63cfc8eebc396be009e733a81ebb4c984811f6e\pom.xmld63cfc8eebc396be009e733a81ebb4c984811f6e;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts54e5c912ebd9a1599bfcf7a719da17c28127bbe\pom.xml54e5c912ebd9a1599bfcf7a719da17c28127bbe;non trovata
F:\Valentino\Progetti_da_buildare_2\httpcomponents-client09027e7286974bf6b61f4106395da2623121db8d\pom.xml09027e7286974bf6b61f4106395da2623121db8d;1.6
F:\Valentino\Progetti_da_buildare_2\spring-framework98ad23bef8e2e04143f8f5b201380543a8d8c0c\pom.xml98ad23bef8e2e04143f8f5b201380543a8d8c0c;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\uaa14350228989e2aee900b8d48a848293bb5152b6f\pom.xml14350228989e2aee900b8d48a848293bb5152b6f;non esiste il pom
