"CWE-ID","Project","Commit"
"CWE-200","tomcat","05c84ff8304a69a30b251f207a7b93c2c882564d"
"CWE-200","tomcat","05c84ff8304a69a30b251f207a7b93c2c882564d"
"CWE-200","bc-java","2d80e6cc6f5b78e159dba3277414e3bfea511dea"
"CWE-613","keycloak","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239"
"CWE-287","shiro","9137e6cc45922b529fb776c6857647a3935471bb"
"CWE-20","tomcat","cdc0a935c2173aff60039a0b85e57a461381107c"
"CWE-20","tomcat80","779d5d34e68e50d2f721897050b147106992f566"
"CWE-20","cxf-fediz","f65c961ea31e3c1851daba8e7e49fc37bbf77b19"
"CWE-310","bc-java","5cb2f0578e6ec8f0d67e59d05d8c4704d8e05f83"
"CWE-611","lucene-solr","e5407c5a9710247e5f728aae36224a245a51f0b"
"CWE-310","bc-java","413b42f4d770456508585c830cfcde95f9b0e93b"
"CWE-22","tomcat","1735d7f55094c3775c7d94e4f8568336dbe1a738"
"CWE-74","java-cas-client","ab6cbdc3daa451b4fef89c0bd0f4e6568f3aa9ef"
"CWE-20","core-1","8131f15003f5bec73d475d2b724472e4b87d0757"
"CWE-552","spring-framework","2bd1daa75ee0b8ec33608ca6ab065ef3e1815543"
"CWE-863","spring-security","fed15f2b01b763158f6650afa13059203366974"
"CWE-863","tomcat","d6b5600afe75e1086dd564344e1d085966e4237d"
"CWE-189","tomcat","fffd63a3bd3a5475379b7c074820a5463b7663b3"
"CWE-20","tomcat","fd8a579e0e2379a84826b11700adf396e4ed2041"
"CWE-94","spring-security-oauth","adb1e6d19c681f394c9513799b81b527b0cb007"
"CWE-20","commons-fileupload","163a6061fbc077d4b6e4787d26857c2baba495d1"
"CWE-613","keycloak","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239"
"CWE-284","shiro","b15ab927709ca18ea4a02538be01919a19ab65af"
"CWE-470","hibernate-validator","0886e89900d343ea20fde5137c9a3086e6da9ac"
"CWE-352","jolokia","2d9b168cfbbf5a6d16fa6e8a5b34503e3dc42364"
"CWE-611","lucene-solr","e21d4937e0637c7b7949ac463f331da9a42c07f"
"CWE-22","tomcat","816552abf6735fa37dfd37c8a7bfbdbd045477e0"
"CWE-189","tomcat55","0314fe7743cb72e469cb395ccaaf2793a2ea0355"
"CWE-200","tomcat","9eae334e9492f55a841e6eb7ab302ff11d03ab21"
"CWE-502","camel","ccf149c76bf37adc5977dc626e141a14e60b5ae"
"CWE-20","struts","554b9dddb0fbd1e581ef577dd62a7c22955ad0f6"
"CWE-91","dom4j","e598eb43d418744c4dbf62f647dd2381c9ce9387"
"CWE-19","bc-java","790642084c4e0cadd47352054f868cc8397e2c00"
"CWE-287","spring-security","2cb99f079152ac05cee5c90457c7feb3bb2de55"
"CWE-611","spring-integration","59c69ed40d3755ef59f80872e0ea711adbb13620"
"CWE-20","oozie","d50df341432df1049c6c85bf2dcda9eb0be04d73"
"CWE-264","uaa","0ed081c9b515014a21954db0dc03a3ddbb30fac"
"CWE-264","elasticsearch","f5cfb2a1869d1a52930cbd3138278a6e2c1b22e6"
"CWE-79","struts","72471d7075681bea52046645ad7aa34e9c53751e"
"CWE-668","tomcat80","6d73b079c55ee25dea1bbd0556bb568a4247dacd"
"CWE-611","spring-integration","59c69ed40d3755ef59f80872e0ea711adbb13620"
"CWE-269","uaa","bbf6751bc0d87c4a3aaf21b54e26ce328ab998b"
"CWE-269","uaa","ea8c0ce7740a5d756d9f11964f6a6b4df54cc3b2"
"CWE-284","tomcat80","0f76016a4ec45635e450ada9c84ff7ee0c5f3799"
"CWE-79","syncope","b25a8834db2cc7ea45707a1218e85e047568427"
"CWE-863","geode","00be4f9774e1adf8e7ccc2664da8005fc30bb11d"
"CWE-502","ignite","bc374f85ca4a5e69572902d2167fe6bedebd40a"
"CWE-94","camel","2281b1f365c50ee1a470fb9990b753eadee9095"
"CWE-94","camel","5ba8f63f78f82b0cddf6cecbf59ac444a0cae2a6"
"CWE-297","pgjdbc","cdeeaca47dc3bc6f727c79a582c9e4123099526e"
"CWE-611","lucene-solr","96f079b4b47eaadff65c7aaf0e5bafe68e30ec3"
"CWE-352","cxf-fediz","acdbe8c213576792dd95d87315bcc181ea61b57f"
"CWE-310","commons-compress","1ce57d976c4f25fe99edcadf079840c278f3cb84"
"CWE-189","tomcat","f646a5acd5e32d6f5a2d9bf1d94ca66b65477675"
"CWE-200","hadoop","6b710a42e00acca405e085724c89cda016cf7442"
"CWE-79","jolokia","5895d5c137c335e6b473e9dcb9baf748851bbc5f"
"CWE-20","struts","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e"
"CWE-79","syncope","b25a8834db2cc7ea45707a1218e85e047568427"
"CWE-264","openjpa","01bc0d257b38743372af91cb88269524634db7d3"
"CWE-287","infinispan","f2d54c4ecb75c7264d4160ca7c461135712201a9"
"CWE-352","activemq","1f464b9412e1b1c08d40c8ffac40edd52731da48"
"CWE-1188","spring-webflow","df0eab526abd1f30aa741974f3d472de974c880f"
"CWE-264","tomcat","970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433"
"CWE-532","pipeline-build-step-plugin","3dfefdec1f7b2a4ee0ef8902afdea720b1572cb3"
"CWE-19","tomcat","593a2447e6ebe465585cfa07e93b5635dffa1c70"
"CWE-74","jolokia","1b360b8889f0ed51165a8d1ac55dd8e0aa2dfd4"
"CWE-264","camel","341d4e6cca71c53c90962d1c3d45fc9e05cc50c6"
"CWE-863","geode","aa469239860778eb46e09dd7b390aee08f152480"
"CWE-79","tomcat","58223c5ecc0751c3642c810f291b8f033d33b97f"
"CWE-22","tomcat80","2fc9d03ffbc3fe7eabfd272380807ac0ddcf748d"
"CWE-79","wicket-jquery-ui","fa0ce80f8e92c28c801773ed7c28621ae98e872"
"CWE-22","hadoop","6d7d192e4799b51931e55217e02baec14d49607"
"CWE-20","tomcat","41b90b6ebc3e7f898a5a87d197ddf63790d33315"
"CWE-611","cxf","8e4970d931ae72f92c54d170a844b37137b8fda6"
"CWE-611","activemq-apollo","e5647554e6801a522c508a8eb457979a9af8c398"
"CWE-295","qpid-proton-j","0cb8ca03cec42120dcfc434561592d89a89a805e"
"CWE-434","tomcat","cf0b37beb0622abdf24acc7110daf883f3fe4f95"
"CWE-20","struts","3cfe34fefedcf0fdcfcb061c0aea34a715b7de6"
"CWE-310","tomcat","30af3f5630542a2340781f66553e734a6fd69701"
"CWE-502","camel","881e5099f94316d4a66ffbff0a3e6915829d49d"
"CWE-287","spring-security","2cb99f079152ac05cee5c90457c7feb3bb2de55"
"CWE-264","xalan-j","cbfd906cc5a1f1566fa1a98400c82e56077fae0c"
