"CWE-ID","Project-Name","Method-ID","Fix Commit","Parent Commit","Badness","Tool-ID","Size","Start","End"
"CWE-200","tomcat","java/org/apache/jasper/JspC.java$initServletContext","05c84ff8304a69a30b251f207a7b93c2c882564d","","false","TOOL ID","29","1445","1474"
"CWE-200","tomcat","java/org/apache/jasper/JspC.java$setArgs","05c84ff8304a69a30b251f207a7b93c2c882564d","","false","TOOL ID","110","291","401"
"CWE-502","ignite","modules/core/src/main/java/org/apache/ignite/internal/util/IgniteUtils.java$forName","340569b8f4e14a4cb61a9407ed2d9aa4a20bdf49","ce96e4f3ed7c151b7f3e845981d7470d707c4050","true","TOOL ID","34","8534","8568"
"CWE-611","nifi","nifi-nar-bundles/nifi-standard-bundle/nifi-standard-processors/src/main/java/org/apache/nifi/processors/standard/SplitXml.java$onTrigger","28067a29fd13cdf8e21b440fc65c6dd67872522f","a3edd34db031d5d5efc83a90e99368a1dfd20a4f","true","TOOL ID","51","154","205"
"CWE-200","tomcat","java/org/apache/tomcat/util/descriptor/LocalResolver.java$resolveEntity","05c84ff8304a69a30b251f207a7b93c2c882564d","","false","TOOL ID","67","71","138"
"CWE-200","tomcat","java/org/apache/tomcat/util/descriptor/LocalResolver.java$getExternalSubset","05c84ff8304a69a30b251f207a7b93c2c882564d","","false","TOOL ID","4","141","145"
"CWE-200","tomcat","java/org/apache/tomcat/util/descriptor/LocalResolver.java$LocalResolver","05c84ff8304a69a30b251f207a7b93c2c882564d","","false","TOOL ID","5","56","61"
"CWE-310","bc-java","core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP224K1Curve.java$SecP224K1Curve","5cb2f0578e6ec8f0d67e59d05d8c4704d8e05f83","8bfd438251442bfe6e0cdaabe054a3ffc88d794e","true","TOOL ID","11","25","36"
"CWE-19","camel","components/camel-jetty-common/src/main/java/org/apache/camel/component/jetty/JettyHttpEndpoint.java$getJettyBinding","c558f30a6d3820faa3d8c4ad5e54448914ec60d0","735ee02c693964b5f700af13a2adfeae56b848a4","true","TOOL ID","9","189","198"
"CWE-284","tomcat80","java/org/apache/catalina/mbeans/JmxRemoteLifecycleListener.java$createServer","0f76016a4ec45635e450ada9c84ff7ee0c5f3799","779d5d34e68e50d2f721897050b147106992f566","true","TOOL ID","48","293","341"
"CWE-284","tomcat80","java/org/apache/catalina/mbeans/JmxRemoteLifecycleListener.java$lifecycleEvent","0f76016a4ec45635e450ada9c84ff7ee0c5f3799","779d5d34e68e50d2f721897050b147106992f566","true","TOOL ID","87","203","290"
"CWE-200","bc-java","core/src/main/java/org/bouncycastle/crypto/modes/GCMBlockCipher.java$init","2d80e6cc6f5b78e159dba3277414e3bfea511dea","","false","TOOL ID","97","91","188"
